#      t_n         th_n        vth_n       Rx          Ry          
       0       1.5708      3         -4.5        -19.62        
       0.005       1.58271      2.94114         -3.84446        -19.6771        
       0.01       1.59727      2.86758         -3.20478        -19.714        
       0.015       1.61146      2.79405         -2.58148        -19.7322        
       0.02       1.62528      2.72057         -1.97502        -19.7331        
       0.025       1.63874      2.64714         -1.3858        -19.718        
       0.03       1.65183      2.57377         -0.814097        -19.6882        
       0.035       1.66455      2.50049         -0.260169        -19.6451        
       0.04       1.6769      2.42729         0.275811        -19.5899        
       0.045       1.68889      2.35419         0.793726        -19.5239        
       0.05       1.70052      2.28119         1.29351        -19.4483        
       0.055       1.71178      2.2083         1.77514        -19.3641        
       0.06       1.72268      2.13552         2.23864        -19.2725        
       0.065       1.73321      2.06287         2.68408        -19.1745        
       0.07       1.74338      1.99034         3.11155        -19.0712        
       0.075       1.75318      1.91793         3.52119        -18.9636        
       0.08       1.76263      1.84565         3.91314        -18.8525        
       0.085       1.77171      1.77351         4.28758        -18.7389        
       0.09       1.78044      1.70149         4.64472        -18.6235        
       0.095       1.7888      1.6296         4.98475        -18.5072        
       0.1       1.7968      1.55785         5.30791        -18.3908        
       0.105       1.80445      1.48622         5.61443        -18.2749        
       0.11       1.81174      1.41472         5.90456        -18.1603        
       0.115       1.81867      1.34335         6.17853        -18.0475        
       0.12       1.82524      1.27209         6.4366        -17.9372        
       0.125       1.83146      1.20096         6.67901        -17.8299        
       0.13       1.83732      1.12993         6.90601        -17.7261        
       0.135       1.84283      1.05902         7.11784        -17.6263        
       0.14       1.84798      0.988214         7.31473        -17.5311        
       0.145       1.85278      0.917507         7.4969        -17.4406        
       0.15       1.85723      0.846893         7.66458        -17.3555        
       0.155       1.86132      0.776368         7.81796        -17.2759        
       0.16       1.86507      0.705924         7.95724        -17.2023        
       0.165       1.86845      0.635556         8.08261        -17.1349        
       0.17       1.87149      0.565256         8.19422        -17.0739        
       0.175       1.87418      0.495018         8.29223        -17.0197        
       0.18       1.87651      0.424835         8.37677        -16.9723        
       0.185       1.8785      0.354698         8.44795        -16.932        
       0.19       1.88013      0.284602         8.50589        -16.8989        
       0.195       1.88141      0.214537         8.55065        -16.8732        
       0.2       1.88234      0.144496         8.58231        -16.8548        
       0.205       1.88293      0.074471         8.60092        -16.844        
       0.21       1.88316      0.00445483         8.60649        -16.8406        
       0.215       1.88304      -0.0655609         8.59904        -16.8448        
       0.22       1.88257      -0.135584         8.57855        -16.8565        
       0.225       1.88176      -0.205622         8.545        -16.8757        
       0.23       1.88059      -0.275684         8.49834        -16.9023        
       0.235       1.87907      -0.345776         8.43851        -16.9362        
       0.24       1.8772      -0.415907         8.36541        -16.9773        
       0.245       1.87498      -0.486084         8.27895        -17.0254        
       0.25       1.87241      -0.556315         8.179        -17.0805        
       0.255       1.86949      -0.626606         8.06543        -17.1422        
       0.26       1.86621      -0.696965         7.9381        -17.2103        
       0.265       1.86259      -0.767399         7.79682        -17.2846        
       0.27       1.85861      -0.837914         7.64142        -17.3649        
       0.275       1.85428      -0.908516         7.47171        -17.4506        
       0.28       1.84959      -0.979211         7.28748        -17.5417        
       0.285       1.84456      -1.05001         7.08851        -17.6375        
       0.29       1.83917      -1.1209         6.87457        -17.7378        
       0.295       1.83342      -1.19191         6.64544        -17.842        
       0.3       1.82732      -1.26303         6.40086        -17.9497        
       0.305       1.82086      -1.33427         6.1406        -18.0604        
       0.31       1.81405      -1.40563         5.8644        -18.1734        
       0.315       1.80687      -1.47711         5.57203        -18.2883        
       0.32       1.79935      -1.54873         5.26323        -18.4043        
       0.325       1.79146      -1.62046         4.93777        -18.5208        
       0.33       1.78321      -1.69233         4.5954        -18.637        
       0.335       1.77461      -1.76433         4.23591        -18.7523        
       0.34       1.76564      -1.83646         3.85909        -18.8658        
       0.345       1.75631      -1.90872         3.46473        -18.9766        
       0.35       1.74663      -1.98111         3.05268        -19.0839        
       0.355       1.73658      -2.05363         2.62276        -19.1867        
       0.36       1.72616      -2.12627         2.17487        -19.2841        
       0.365       1.71538      -2.19903         1.7089        -19.375        
       0.37       1.70424      -2.27191         1.2248        -19.4584        
       0.375       1.69274      -2.34489         0.722541        -19.5332        
       0.38       1.68087      -2.41798         0.202153        -19.5982        
       0.385       1.66863      -2.49117         -0.336294        -19.6522        
       0.39       1.65603      -2.56444         -0.892675        -19.694        
       0.395       1.64306      -2.6378         -1.46681        -19.7223        
       0.4       1.62972      -2.71122         -2.05844        -19.7358        
       0.405       1.61602      -2.7847         -2.66727        -19.7333        
       0.41       1.60195      -2.85822         -3.2929        -19.7132        
       0.415       1.58751      -2.93178         -3.93487        -19.6742        
       0.42       1.57271      -3.00535         -4.59262        -19.615        
       0.425       1.55753      -3.07892         -5.26553        -19.5339        
       0.43       1.54199      -3.15248         -5.95285        -19.4297        
       0.435       1.52608      -3.226         -6.65376        -19.3008        
       0.44       1.5098      -3.29947         -7.36733        -19.1457        
       0.445       1.49316      -3.37285         -8.0925        -18.963        
       0.45       1.47615      -3.44615         -8.82813        -18.7512        
       0.455       1.45877      -3.51931         -9.57295        -18.509        
       0.46       1.44103      -3.59234         -10.3256        -18.2348        
       0.465       1.42292      -3.66518         -11.0844        -17.9273        
       0.47       1.40445      -3.73783         -11.848        -17.5852        
       0.475       1.38562      -3.81025         -12.6144        -17.2072        
       0.48       1.36642      -3.8824         -13.3818        -16.7921        
       0.485       1.34687      -3.95427         -14.1482        -16.3389        
       0.49       1.32695      -4.0258         -14.9113        -15.8463        
       0.495       1.30668      -4.09698         -15.6691        -15.3136        
       0.5       1.28605      -4.16776         -16.4189        -14.7398        
       0.505       1.26507      -4.2381         -17.1584        -14.1244        
       0.51       1.24374      -4.30798         -17.885        -13.4667        
       0.515       1.22206      -4.37734         -18.5957        -12.7664        
       0.52       1.20004      -4.44615         -19.2879        -12.0232        
       0.525       1.17767      -4.51436         -19.9586        -11.2371        
       0.53       1.15496      -4.58193         -20.6048        -10.4083        
       0.535       1.13192      -4.64882         -21.2233        -9.53694        
       0.54       1.10854      -4.71497         -21.8112        -8.62376        
       0.545       1.08484      -4.78035         -22.3651        -7.6695        
       0.55       1.06081      -4.84491         -22.8819        -6.67518        
       0.555       1.03646      -4.90859         -23.3584        -5.64209        
       0.56       1.01179      -4.97134         -23.7913        -4.57174        
       0.565       0.986805      -5.03313         -24.1776        -3.46591        
       0.57       0.961518      -5.09389         -24.514        -2.32666        
       0.575       0.935929      -5.15357         -24.7976        -1.15629        
       0.58       0.910043      -5.21212         -25.0253        0.0426069        
       0.585       0.883867      -5.26949         -25.1945        1.26719        
       0.59       0.857407      -5.32563         -25.3023        2.51434        
       0.595       0.830669      -5.38049         -25.3463        3.7807        
       0.6       0.803659      -5.434         -25.3241        5.06265        
       0.605       0.776384      -5.48613         -25.2337        6.35634        
       0.61       0.748851      -5.5368         -25.0733        7.65769        
       0.615       0.721068      -5.58599         -24.8412        8.96241        
       0.62       0.693043      -5.63363         -24.5361        10.266        
       0.625       0.664782      -5.67966         -24.1571        11.5639        
       0.63       0.636294      -5.72406         -23.7036        12.8512        
       0.635       0.607588      -5.76675         -23.1752        14.1231        
       0.64       0.578671      -5.8077         -22.572        15.3744        
       0.645       0.549554      -5.84685         -21.8944        16.6003        
       0.65       0.520244      -5.88417         -21.1434        17.7956        
