#      t_n         x_n         xteo        err    
       0         0         0           0
       0.005       0.0575044       0.0575045        9.13886e-08
       0.01       0.115017       0.115018        1.82776e-07
       0.015       0.172538       0.172539        2.74162e-07
       0.02       0.230067       0.230067        3.65545e-07
       0.025       0.287602       0.287602        4.56925e-07
       0.03       0.345143       0.345144        5.483e-07
       0.035       0.40269       0.402691        6.39669e-07
       0.04       0.460243       0.460243        7.31032e-07
       0.045       0.5178       0.5178        8.22388e-07
       0.05       0.57536       0.575361        9.13735e-07
       0.055       0.632925       0.632926        1.00507e-06
       0.06       0.690492       0.690493        1.0964e-06
       0.065       0.748061       0.748062        1.18772e-06
       0.07       0.805632       0.805633        1.27902e-06
       0.075       0.863204       0.863205        1.37032e-06
       0.08       0.920776       0.920778        1.4616e-06
       0.085       0.978348       0.97835        1.55286e-06
       0.09       1.03592       1.03592        1.64411e-06
       0.095       1.09349       1.09349        1.73534e-06
       0.1       1.15106       1.15106        1.82656e-06
       0.105       1.20863       1.20863        1.91775e-06
       0.11       1.26619       1.26619        2.00893e-06
       0.115       1.32375       1.32375        2.10009e-06
       0.12       1.38131       1.38131        2.19122e-06
       0.125       1.43886       1.43886        2.28234e-06
       0.13       1.4964       1.4964        2.37343e-06
       0.135       1.55394       1.55394        2.4645e-06
       0.14       1.61148       1.61148        2.55554e-06
       0.145       1.669       1.66901        2.64656e-06
       0.15       1.72652       1.72652        2.73755e-06
       0.155       1.78403       1.78404        2.82852e-06
       0.16       1.84154       1.84154        2.91945e-06
       0.165       1.89903       1.89903        3.01036e-06
       0.17       1.95651       1.95651        3.10123e-06
       0.175       2.01398       2.01399        3.19208e-06
       0.18       2.07145       2.07145        3.28289e-06
       0.185       2.1289       2.1289        3.37367e-06
       0.19       2.18633       2.18634        3.46442e-06
       0.195       2.24376       2.24376        3.55513e-06
       0.2       2.30117       2.30118        3.64581e-06
       0.205       2.35857       2.35857        3.73645e-06
       0.21       2.41595       2.41596        3.82705e-06
       0.215       2.47332       2.47333        3.91762e-06
       0.22       2.53068       2.53068        4.00814e-06
       0.225       2.58801       2.58802        4.09863e-06
       0.23       2.64533       2.64534        4.18907e-06
       0.235       2.70264       2.70264        4.27947e-06
       0.24       2.75992       2.75993        4.36983e-06
       0.245       2.81719       2.81719        4.46015e-06
       0.25       2.87444       2.87444        4.55042e-06
       0.255       2.93166       2.93167        4.64065e-06
       0.26       2.98887       2.98888        4.73083e-06
       0.265       3.04606       3.04606        4.82096e-06
       0.27       3.10322       3.10323        4.91104e-06
       0.275       3.16037       3.16037        5.00108e-06
       0.28       3.21749       3.21749        5.09106e-06
       0.285       3.27459       3.27459        5.181e-06
       0.29       3.33166       3.33167        5.27088e-06
       0.295       3.38871       3.38872        5.36071e-06
       0.3       3.44574       3.44574        5.45049e-06
       0.305       3.50274       3.50275        5.54021e-06
       0.31       3.55971       3.55972        5.62987e-06
       0.315       3.61666       3.61667        5.71948e-06
       0.32       3.67358       3.67359        5.80904e-06
       0.325       3.73048       3.73048        5.89853e-06
       0.33       3.78734       3.78735        5.98797e-06
       0.335       3.84418       3.84419        6.07734e-06
       0.34       3.90099       3.90099        6.16666e-06
       0.345       3.95776       3.95777        6.25591e-06
       0.35       4.01451       4.01452        6.3451e-06
       0.355       4.07123       4.07123        6.43423e-06
       0.36       4.12791       4.12792        6.52329e-06
       0.365       4.18456       4.18457        6.61229e-06
       0.37       4.24118       4.24119        6.70122e-06
       0.375       4.29777       4.29778        6.79008e-06
       0.38       4.35432       4.35433        6.87888e-06
       0.385       4.41084       4.41085        6.96761e-06
       0.39       4.46732       4.46733        7.05627e-06
       0.395       4.52377       4.52378        7.14485e-06
       0.4       4.58018       4.58019        7.23337e-06
       0.405       4.63656       4.63657        7.32181e-06
       0.41       4.6929       4.6929        7.41019e-06
       0.415       4.7492       4.7492        7.49848e-06
       0.42       4.80546       4.80547        7.5867e-06
       0.425       4.86168       4.86169        7.67485e-06
       0.43       4.91786       4.91787        7.76292e-06
       0.435       4.97401       4.97401        7.85091e-06
       0.44       5.03011       5.03012        7.93882e-06
