#   r    ph     vph    
0  1   1.588
0.005  1.00830244222488     1.70749812950452
0.01  1.01699256375629     1.76655267478849
0.015  1.02594189552695     1.81266993474161
0.02  1.03510406624991     1.85213938329324
0.025  1.0444526235122     1.88741768115199
0.03  1.05397000581784     1.9197672953762
0.035  1.06364355217149     1.94993812331219
0.04  1.07346364412247     1.97841827266325
0.045  1.0834227054779     2.00554629673385
0.05  1.09351460912978     2.03156829424451
0.055  1.10373429995638     2.05666974076435
0.06  1.11407754210864     2.08099449992155
0.065  1.1245407424866     2.10465680751266
0.07  1.13512082323641     2.12774916184374
0.075  1.1458151270734     2.15034770838712
0.08  1.15662134532801     2.17251602671166
0.085  1.16753746216792     2.19430786288671
0.09  1.17856171061506     2.21576914505307
0.095  1.1896925373434     2.2369394991231
0.1  1.20092857413343     2.25785340804496
0.105  1.21226861445463     2.27854111186116
0.11  1.22371159405483     2.2990293159465
0.115  1.2352565747209     2.31934175505584
0.12  1.24690273057824     2.33949964744975
0.125  1.25864933644403     2.35952206414785
0.13  1.2704957578577     2.37942623188841
0.135  1.28244144249294     2.39922778375512
0.14  1.29448591271674     2.41894096808948
0.145  1.30662875910789     2.43857882385474
0.15  1.31886963478325     2.45815332879529
0.155  1.33120825040857     2.47767552536693
0.16  1.3436443697927     2.49715562837408
0.165  1.35617780598161     2.51660311745339
0.17  1.36880841778302     2.5360268169266
0.175  1.38153610666356     2.55543496506482
0.18  1.39436081396977     2.57483527442762
0.185  1.40728251843173     2.59423498464114
0.19  1.4203012339144     2.61364090873968
0.195  1.43341700738687     2.63305947400364
0.2  1.44662991708383     2.65249675807101
0.205  1.45994007083748     2.67195852097369
0.21  1.47334760456068     2.69145023364647
0.215  1.48685268086499     2.71097710337202
0.22  1.50045548779928     2.73054409655503
0.225  1.51415623769629     2.75015595916045
0.23  1.52795516611628     2.76981723510267
0.235  1.54185253087816     2.78953228283169
0.24  1.55584861116947     2.80930529032815
0.245  1.56994370672794     2.82914028869085
0.25  1.58413813708773     2.84904116447535
0.255  1.59843224088472     2.86901167092207
0.26  1.61282637521537     2.88905543819449
0.265  1.62732091504461     2.90917598273281
0.27  1.64191625265852     2.92937671581564
0.275  1.65661279715802     2.94966095141113
0.28  1.67141097399026     2.97003191338905
0.285  1.68631122451461     2.99049274215742
0.29  1.70131400560052     3.01104650077957
0.295  1.71641978925484     3.03169618062155
0.3  1.73162906227633     3.05244470657418
0.305  1.7469423259352     3.07329494188912
0.31  1.76236009567613     3.09424969266435
0.315  1.77788290084277     3.11531171201041
0.32  1.79351128442247     3.13648370392589
0.325  1.80924580280961     3.15776832690736
0.33  1.8250870255865     3.17916819731673
0.335  1.84103553532044     3.2006858925265
0.34  1.85709192737611     3.22232395386154
0.345  1.87325680974214     3.24408488935419
0.35  1.88953080287102     3.26597117632782
0.355  1.90591453953161     3.28798526382271
0.36  1.92240866467332     3.3101295748767
0.365  1.93901383530145     3.33240650867201
0.37  1.95573072036291     3.35481844255866
0.375  1.97256000064176     3.37736773396373
0.38  1.98950236866409     3.40005672219538
0.385  2.0065585286116     3.42288773014926
0.39  2.02372919624361     3.44586306592466
0.395  2.04101509882676     3.46898502435695
0.4  2.0584169750724     3.49225588847247
0.405  2.07593557508087     3.51567793087124
0.41  2.09357166029266     3.5392534150429
0.415  2.11132600344595     3.56298459662029
0.42  2.1291993885403     3.58687372457531
0.425  2.14719261080611     3.61092304236081
0.43  2.16530647667978     3.63513478900236
0.435  2.1835418037841     3.65951120014335
0.44  2.20189942091385     3.68405450904641
0.445  2.22038016802627     3.7087669475543
0.45  2.23898489623618     3.73365074701284
0.455  2.25771446781576     3.75870813915844
0.46  2.27656975619854     3.78394135697263
0.465  2.29555164598772     3.80935263550567
0.47  2.31466103296843     3.83494421267136
0.475  2.33389882412395     3.86071833001492
0.48  2.35326593765568     3.88667723345558
0.485  2.37276330300684     3.91282317400577
0.49  2.39239186088958     3.9391584084682
0.495  2.41215256331564     3.96568520011236
0.5  2.4320463736303     3.9924058193319
0.505  2.45207426654954     4.01932254428386
0.51  2.47223722820045     4.04643766151127
0.515  2.49253625616459     4.07375346654994
0.52  2.51297235952445     4.10127226452063
0.525  2.53354655891279     4.12899637070757
0.53  2.55425988656483     4.15692811112416
0.535  2.57511338637329     4.18506982306677
0.54  2.59610811394611     4.21342385565751
0.545  2.61724513666689     4.24199257037657
0.55  2.638525533758     4.27077834158507
0.555  2.6599503963462     4.29978355703887
0.56  2.68152082753087     4.32901061839418
0.565  2.70323794245476     4.35846194170549
0.57  2.72510286837716     4.38813995791639
0.575  2.74711674474953     4.41804711334386
0.58  2.76928072329359     4.44818587015649
0.585  2.79159596808165     4.47855870684728
0.59  2.81406365561947     4.50916811870121
0.595  2.83668497493131     4.54001661825837
0.6  2.85946112764733     4.57110673577273
0.605  2.88239332809329     4.60244101966726
0.61  2.9054828033825     4.63402203698554
0.615  2.92873079351002     4.66585237384039
