#      t_n         x1_n         x2_n        y1_n       y2_n        vx1_n       vx2_n        vy1_n       vy2_n       
       0       0       0      30        30        5         -8        0          0        
       0.005       0.0245       -0.0392      29.9999        29.9999        5         -8        -0.045          -0.045        
       0.01       0.0495       -0.0792      29.9996        29.9996        5         -8        -0.09          -0.09        
       0.015       0.0745       -0.1192      29.999        29.999        5         -8        -0.135          -0.135        
       0.02       0.0995       -0.1592      29.9982        29.9982        5         -8        -0.18          -0.18        
       0.025       0.1245       -0.1992      29.9972        29.9972        5         -8        -0.225          -0.225        
       0.03       0.1495       -0.2392      29.996        29.996        5         -8        -0.27          -0.27        
       0.035       0.1745       -0.2792      29.9945        29.9945        5         -8        -0.315          -0.315        
       0.04       0.1995       -0.3192      29.9928        29.9928        5         -8        -0.36          -0.36        
       0.045       0.2245       -0.3592      29.9909        29.9909        5         -8        -0.405          -0.405        
       0.05       0.2495       -0.3992      29.9888        29.9888        5         -8        -0.45          -0.45        
       0.055       0.2745       -0.4392      29.9864        29.9864        5         -8        -0.495          -0.495        
       0.06       0.2995       -0.4792      29.9838        29.9838        5         -8        -0.54          -0.54        
       0.065       0.3245       -0.5192      29.981        29.981        5         -8        -0.585          -0.585        
       0.07       0.3495       -0.5592      29.978        29.978        5         -8        -0.63          -0.63        
       0.075       0.3745       -0.5992      29.9747        29.9747        5         -8        -0.675          -0.675        
       0.08       0.3995       -0.6392      29.9712        29.9712        5         -8        -0.72          -0.72        
       0.085       0.4245       -0.6792      29.9675        29.9675        5         -8        -0.765          -0.765        
       0.09       0.4495       -0.7192      29.9636        29.9636        5         -8        -0.81          -0.81        
       0.095       0.4745       -0.7592      29.9594        29.9594        5         -8        -0.855          -0.855        
       0.1       0.4995       -0.7992      29.955        29.955        5         -8        -0.9          -0.9        
       0.105       0.5245       -0.8392      29.9504        29.9504        5         -8        -0.945          -0.945        
       0.11       0.5495       -0.8792      29.9456        29.9456        5         -8        -0.99          -0.99        
       0.115       0.5745       -0.9192      29.9405        29.9405        5         -8        -1.035          -1.035        
       0.12       0.5995       -0.9592      29.9353        29.9353        5         -8        -1.08          -1.08        
       0.125       0.6245       -0.9992      29.9297        29.9297        5         -8        -1.125          -1.125        
       0.13       0.6495       -1.0392      29.924        29.924        5         -8        -1.17          -1.17        
       0.135       0.6745       -1.0792      29.918        29.918        5         -8        -1.215          -1.215        
       0.14       0.6995       -1.1192      29.9119        29.9119        5         -8        -1.26          -1.26        
       0.145       0.7245       -1.1592      29.9055        29.9055        5         -8        -1.305          -1.305        
       0.15       0.7495       -1.1992      29.8988        29.8988        5         -8        -1.35          -1.35        
       0.155       0.7745       -1.2392      29.892        29.892        5         -8        -1.395          -1.395        
       0.16       0.7995       -1.2792      29.8849        29.8849        5         -8        -1.44          -1.44        
       0.165       0.8245       -1.3192      29.8776        29.8776        5         -8        -1.485          -1.485        
       0.17       0.8495       -1.3592      29.87        29.87        5         -8        -1.53          -1.53        
       0.175       0.8745       -1.3992      29.8623        29.8623        5         -8        -1.575          -1.575        
       0.18       0.8995       -1.4392      29.8543        29.8543        5         -8        -1.62          -1.62        
       0.185       0.9245       -1.4792      29.8461        29.8461        5         -8        -1.665          -1.665        
       0.19       0.9495       -1.5192      29.8376        29.8376        5         -8        -1.71          -1.71        
       0.195       0.9745       -1.5592      29.829        29.829        5         -8        -1.755          -1.755        
       0.2       0.9995       -1.5992      29.8201        29.8201        5         -8        -1.8          -1.8        
       0.205       1.0245       -1.6392      29.811        29.811        5         -8        -1.845          -1.845        
       0.21       1.0495       -1.6792      29.8016        29.8016        5         -8        -1.89          -1.89        
       0.215       1.0745       -1.7192      29.7921        29.7921        5         -8        -1.935          -1.935        
       0.22       1.0995       -1.7592      29.7823        29.7823        5         -8        -1.98          -1.98        
       0.225       1.1245       -1.7992      29.7723        29.7723        5         -8        -2.025          -2.025        
       0.23       1.1495       -1.8392      29.7621        29.7621        5         -8        -2.07          -2.07        
       0.235       1.1745       -1.8792      29.7516        29.7516        5         -8        -2.115          -2.115        
       0.24       1.1995       -1.9192      29.7409        29.7409        5         -8        -2.16          -2.16        
       0.245       1.2245       -1.9592      29.73        29.73        5         -8        -2.205          -2.205        
       0.25       1.2495       -1.9992      29.7189        29.7189        5         -8        -2.25          -2.25        
       0.255       1.2745       -2.0392      29.7075        29.7075        5         -8        -2.295          -2.295        
       0.26       1.2995       -2.0792      29.6959        29.6959        5         -8        -2.34          -2.34        
       0.265       1.3245       -2.1192      29.6841        29.6841        5         -8        -2.385          -2.385        
       0.27       1.3495       -2.1592      29.6721        29.6721        5         -8        -2.43          -2.43        
       0.275       1.3745       -2.1992      29.6598        29.6598        5         -8        -2.475          -2.475        
       0.28       1.3995       -2.2392      29.6473        29.6473        5         -8        -2.52          -2.52        
       0.285       1.4245       -2.2792      29.6346        29.6346        5         -8        -2.565          -2.565        
       0.29       1.4495       -2.3192      29.6217        29.6217        5         -8        -2.61          -2.61        
       0.295       1.4745       -2.3592      29.6085        29.6085        5         -8        -2.655          -2.655        
       0.3       1.4995       -2.3992      29.5951        29.5951        5         -8        -2.7          -2.7        
       0.305       1.5245       -2.4392      29.5815        29.5815        5         -8        -2.745          -2.745        
       0.31       1.5495       -2.4792      29.5677        29.5677        5         -8        -2.79          -2.79        
       0.315       1.5745       -2.5192      29.5536        29.5536        5         -8        -2.835          -2.835        
       0.32       1.5995       -2.5592      29.5393        29.5393        5         -8        -2.88          -2.88        
       0.325       1.6245       -2.5992      29.5248        29.5248        5         -8        -2.925          -2.925        
       0.33       1.6495       -2.6392      29.5101        29.5101        5         -8        -2.97          -2.97        
       0.335       1.6745       -2.6792      29.4951        29.4951        5         -8        -3.015          -3.015        
       0.34       1.6995       -2.7192      29.48        29.48        5         -8        -3.06          -3.06        
